Timestamp,Open,High,Low,Close,Volume,CurrencyVolume,TradeAmount,Flag
1765024200000,2.0293,2.0312,2.0285,2.0307,591,59104,119975.748,1
1765023300000,2.0271,2.0302,2.0264,2.0289,643,64389,130605.4682,1
1765022400000,2.0314,2.0335,2.0248,2.0271,2026,202637,411342.4097,1
1765021500000,2.0308,2.0322,2.0293,2.0311,367,36735,74600.9076,1
1765020600000,2.0263,2.0322,2.0256,2.0308,626,62668,127144.9472,1
1765019700000,2.0267,2.0285,2.0257,2.0258,765,76587,155250.3995,1
1765018800000,2.0229,2.0285,2.0218,2.0267,752,75244,152363.3916,1
1765017900000,2.0251,2.0263,2.0224,2.0233,680,68095,137832.3587,1
1765017000000,2.0235,2.0258,2.0215,2.025,909,90970,184066.8744,1
1765016100000,2.0232,2.0289,2.0225,2.0235,775,77589,157120.7334,1
1765015200000,2.0244,2.0259,2.0204,2.0232,642,64206,129838.1386,1
1765014300000,2.0256,2.0274,2.0244,2.0244,829,82996,168161.8196,1
1765013400000,2.0246,2.0277,2.0206,2.0253,1019,101952,206429.5372,1
1765012500000,2.0234,2.025,2.0222,2.0241,1170,117065,236862.3855,1
1765011600000,2.0166,2.0261,2.0161,2.0228,1604,160428,324143.0888,1
1765010700000,2.0203,2.0214,2.0145,2.0166,2376,237676,479633.2822,1
1765009800000,2.0208,2.0219,2.0161,2.0203,3341,334109,674414.9047,1
