instrument,symbol,base_currency,base_symbol,quote_currency,quote_symbol,instrument_type,contract_type,contract_value,max_leverage,min_size,lot_size,tick_size,digits,max_limit_size,max_market_size,leverage,margin_mode,martingale_factor,bulk_collection_rate,interval_collection_rate,sma_factor,trade_period,trade_timeframe,timeframe_units,trade_state,trade_status,suspense,list_time,expiry_time
60D7B2,BOBA-USDT,1CD014,BOBA,350FE2,USDT,SWAP,linear,100,12,0.1,0.1,1E-05,6,900,90,0,cross,0,,,,,,,14E7C6,Suspended,1,"2023/11/23 00:30:05","2125/07/14 00:07:54"
70E775,BOME-USDT,F731EC,BOME,350FE2,USDT,SWAP,linear,1000,75,1,1,1E-06,7,200000,30000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/03/15 05:00:05","2030/11/30 08:00:00"
498379,BR-USDT,1DA0D8,BR,350FE2,USDT,SWAP,linear,10,20,1,1,1E-05,6,10000000,50000,0,cross,0,,,,,,,14E7C6,Suspended,1,"2025/03/21 01:15:00","2049/11/26 03:00:00"
CFDE78,BRETT-USDT,5A62D4,BRETT,350FE2,USDT,SWAP,linear,100,75,0.1,0.1,1E-05,6,100000,10000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/04/29 05:30:05","2030/11/30 08:00:00"
B233AA,BROCCOLI714-USDT,A61F71,BROCCOLI714,350FE2,USDT,SWAP,linear,100,50,1,1,1E-05,6,200000,20000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/03/21 02:15:00","2049/11/26 03:00:00"
2EFA53,BROCCOLIF3B-USDT,5.8E+89,BROCCOLIF3B,350FE2,USDT,SWAP,linear,100,25,1,1,1E-06,7,500000,20000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/03/21 02:30:00","2049/11/26 03:00:00"
A233CD,BSV-USDT,8489EC,BSV,350FE2,USDT,SWAP,linear,1,50,0.1,0.1,0.01,3,130000,3000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/08/04 03:30:05","2028/12/31 08:00:00"
1325F1,BSW-USDT,9E8DAB,BSW,350FE2,USDT,SWAP,linear,100,20,0.1,0.1,1E-05,6,35000,15000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/11/23 00:30:05","2030/11/30 20:30:00"
D9A007,BTC-USD,110648,BTC,2612A3,USD,SWAP,inverse,1,100,1,1,0.1,2,20000000,3000000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/06/20 23:00:00","2124/08/01 03:00:00"
A2BF83,BTC-USDC,110648,BTC,5B70F6,USDC,SWAP,linear,0.0001,125,1,1,0.1,2,800000,25000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/08/18 02:00:00","2124/08/01 03:00:00"
4E3E8A,BTC-USDT,110648,BTC,350FE2,USDT,SWAP,linear,0.001,150,0.1,0.1,0.1,2,210000,100000,0,cross,0,1440,4,60,CA3449,15m,15,7C7AB8,Enabled,0,"2023/01/12 02:00:00","2049/11/30 08:00:00"
AF7688,BTCDOM-USDT,54919B,BTCDOM,350FE2,USDT,SWAP,linear,0.001,20,1,1,0.1,2,10000000,100000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/06/06 04:00:00","2124/08/01 03:00:00"
1904D8,BTR-USDT,0C956B,BTR,350FE2,USDT,SWAP,linear,10,50,1,1,1E-05,6,600000,100000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/08/27 03:45:00","2124/08/01 03:00:00"
A07DC2,BULLA-USDT,6B6C0F,BULLA,350FE2,USDT,SWAP,linear,10,50,1,1,1E-05,6,800000,40000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/07/04 02:15:00","2124/08/01 03:00:00"
CEDC4B,BUZZ-USDT,522273,BUZZ,350FE2,USDT,SWAP,linear,10,20,1,1,1E-06,7,200000000,200000,0,cross,0,,,,,,,14E7C6,Suspended,1,"2025/01/23 20:00:00","2049/01/23 18:47:15"
32DD9B,C-USDT,FA64F8,C,350FE2,USDT,SWAP,linear,10,50,1,1,1E-05,6,600000,60000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/07/15 02:15:00","2124/08/01 03:00:00"
C10B11,C98-USDT,61A7D9,C98,350FE2,USDT,SWAP,linear,1,50,1,1,0.0001,5,1151800,900000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/10/18 01:30:00","2029/10/10 01:30:00"
C38624,CAKE-USDT,D6BD93,CAKE,350FE2,USDT,SWAP,linear,1,75,1,1,0.0001,5,1000000,20000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/11/07 20:30:05","2030/11/30 20:30:00"
61A5EB,CARV-USDT,85EA17,CARV,350FE2,USDT,SWAP,linear,10,50,1,1,0.0001,5,400000,30000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/08/07 10:00:00","2124/08/01 03:00:00"
3519BE,CAT-USDT,E870F2,CAT,350FE2,USDT,SWAP,linear,100000,20,1,1,1E-09,10,9563000,50000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/09/12 02:00:00","2049/09/11 01:38:25"
D7DF9D,CATI-USDT,0FF6CA,CATI,350FE2,USDT,SWAP,linear,10,20,1,1,1E-05,6,5000000,10000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/09/20 05:30:00","2049/09/19 18:56:40"
745F72,CELO-USDT,B3079E,CELO,350FE2,USDT,SWAP,linear,1,20,1,1,0.0001,5,34670000,50000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/08/04 03:30:05","2028/12/31 08:00:00"
1B2B0F,CELR-USDT,F681E4,CELR,350FE2,USDT,SWAP,linear,1,50,1,1,1E-05,6,10000000,3000000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/10/18 01:30:00","2029/10/10 01:30:00"
74D22F,CETUS-USDT,5B9EA8,CETUS,350FE2,USDT,SWAP,linear,10,50,1,1,1E-05,6,5878000,30000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/11/23 00:30:05","2030/11/30 20:30:00"
3036C5,CFX-USDT,8FAF0A,CFX,350FE2,USDT,SWAP,linear,1,20,1,1,1E-05,6,138300000,420000,0,cross,0,,,,,,,1697FE,Disabled,0,2023/02/28,"2029/11/30 08:00:00"
3AB32E,CGPT-USDT,42EFFD,CGPT,350FE2,USDT,SWAP,linear,10,50,1,1,1E-05,6,500000,10000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/12/21 01:00:00","2049/11/26 03:00:00"
673C0B,CHESS-USDT,E66039,CHESS,350FE2,USDT,SWAP,linear,10,50,1,1,1E-05,6,1000000,100000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/08/29 01:30:00","2039/08/29 00:04:52"
740900,CHILLGUY-USDT,F9BC44,CHILLGUY,350FE2,USDT,SWAP,linear,10,75,1,1,1E-05,6,180000,200000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/11/24 23:00:00","2049/11/24 19:09:10"
03807F,CHR-USDT,E52EC5,CHR,350FE2,USDT,SWAP,linear,1,50,1,1,0.0001,5,1000000,250000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/10/18 01:30:00","2029/10/10 01:30:00"
3FBC41,CHZ-USDT,92F484,CHZ,350FE2,USDT,SWAP,linear,10,50,1,1,1E-05,6,31100000,55000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/01/12 02:00:00","2029/11/30 08:00:00"
13DD0E,CKB-USDT,603E7D,CKB,350FE2,USDT,SWAP,linear,1,50,1,1,1E-06,7,10000000,5580000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/10/18 01:30:00","2029/10/10 01:30:00"
71679D,CLOUD-USDT,A25AD8,CLOUD,350FE2,USDT,SWAP,linear,10,12,1,1,1E-05,6,20000,4000,0,cross,0,,,,,,,14E7C6,Suspended,1,"2024/07/22 06:00:00","2125/07/22 04:15:47"
47EC59,COMBO-USDT,F8E41C,COMBO,350FE2,USDT,SWAP,linear,0.1,7,1,1,0.0001,5,50000000,820000,0,cross,0,,,,,,,14E7C6,Suspended,1,"2023/10/18 01:30:00","2029/10/10 01:30:00"
1B58CC,COMP-USDT,51FA88,COMP,350FE2,USDT,SWAP,linear,0.1,20,1,1,0.01,3,2000000,14000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/07/13 01:30:05","2028/12/31 08:00:00"
95130D,COOKIE-USDT,CEBBC6,COOKIE,350FE2,USDT,SWAP,linear,10,75,1,1,0.0001,5,150000,10000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/01/07 03:45:00","2049/01/07 01:47:04"
512EC3,CORE-USDT,3C1CE5,CORE,350FE2,USDT,SWAP,linear,1,20,1,1,0.0001,5,21113000,40000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/11/23 00:30:05","2030/11/30 20:30:00"
8D6289,COS-USDT,25B7FE,COS,350FE2,USDT,SWAP,linear,100,50,1,1,1E-06,7,7000000,54000,0,cross,0,,,,,,,14E7C6,Suspended,1,"2024/05/10 03:30:05","2049/11/30 08:00:00"
0B01A2,COTI-USDT,2BF776,COTI,350FE2,USDT,SWAP,linear,1,50,1,1,1E-05,6,2311700,800000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/08/04 03:30:05","2028/12/31 08:00:00"
98CE8E,COW-USDT,FFD3E8,COW,350FE2,USDT,SWAP,linear,10,75,1,1,0.0001,5,300000,6000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/11/06 05:45:00","2049/11/06 05:11:53"
9EC927,CRO-USDT,0FB4D9,CRO,350FE2,USDT,SWAP,linear,10,20,1,1,1E-05,6,9157000,30000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/11/13 02:30:05","2030/11/30 20:30:00"
6CDE77,CROSS-USDT,B36A12,CROSS,350FE2,USDT,SWAP,linear,10,50,1,1,1E-05,6,800000,10000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/07/10 04:00:00","2124/08/01 03:00:00"
4120F3,CRV-USDT,28E1A2,CRV,350FE2,USDT,SWAP,linear,1,50,1,1,0.0001,5,15787000,110000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/01/12 02:00:00","2029/11/30 08:00:00"
B80F28,CSPR-USDT,90B0D9,CSPR,350FE2,USDT,SWAP,linear,1,20,1,1,1E-06,7,100000000,700000,0,cross,0,,,,,,,14E7C6,Suspended,1,"2023/10/15 01:30:00","2125/07/04 05:10:29"
09F778,CTK-USDT,A52DCA,CTK,350FE2,USDT,SWAP,linear,1,50,1,1,0.0001,5,2500000,100000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/04/30 05:45:00","2100/10/01 09:00:00"
C359D1,CTSI-USDT,307757,CTSI,350FE2,USDT,SWAP,linear,10,50,1,1,0.0001,5,100000,70000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/08/14 01:30:05","2028/12/31 08:00:00"
E05F2D,CUDIS-USDT,93874D,CUDIS,350FE2,USDT,SWAP,linear,10,50,1,1,1E-05,6,1000000,100000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/08/20 04:30:00","2124/08/01 03:00:00"
76A4EC,CVC-USDT,151F33,CVC,350FE2,USDT,SWAP,linear,100,20,0.1,0.1,1E-05,6,1000000,3000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/11/23 00:30:05","2030/11/30 20:30:00"
9568A5,CVX-USDT,EDFBF3,CVX,350FE2,USDT,SWAP,linear,1,75,1,1,0.001,4,200000,10000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/07/23 04:45:00","2125/06/28 23:48:23.073"
EE98E1,CYBER-USDT,A65684,CYBER,350FE2,USDT,SWAP,linear,0.1,50,1,1,0.001,4,100000000,900000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/09/02 04:30:00","2029/01/01 03:30:00"
70B96B,D-USDT,1EEE49,D,350FE2,USDT,SWAP,linear,10,50,1,1,1E-05,6,600000,60000,0,cross,0,,,,,,,14E7C6,Suspended,1,"2025/01/09 02:15:00","2049/01/08 23:53:15"
FB862D,DAM-USDT,774B8C,DAM,350FE2,USDT,SWAP,linear,10,50,1,1,1E-05,6,1000000,100000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/08/18 05:45:00","2124/08/01 03:00:00"
CFD1C7,DASH-USDT,598F76,DASH,350FE2,USDT,SWAP,linear,0.1,75,1,1,0.01,3,119000,24000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/01/12 02:00:00","2029/11/30 08:00:00"
B8BE57,DATA-USDT,1BFD46,DATA,350FE2,USDT,SWAP,linear,1,12,1,1,1E-05,6,627000,63000,0,cross,0,,,,,,,14E7C6,Suspended,1,"2023/12/20 03:00:05","2029/11/30 08:00:00"
FD5D8F,DBR-USDT,8D095E,DBR,350FE2,USDT,SWAP,linear,100,25,1,1,1E-05,6,29000,5800,0,cross,0,,,,,,,14E7C6,Suspended,1,"2024/10/18 03:00:00","2049/10/18 00:29:25"
2D7407,DEEP-USDT,AEF51B,DEEP,350FE2,USDT,SWAP,linear,100,25,0.1,0.1,1E-05,6,15000,3000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/10/18 03:00:00","2049/10/18 00:29:25"
2BB201,DEGEN-USDT,439ACB,DEGEN,350FE2,USDT,SWAP,linear,100,50,1,1,1E-06,7,180000,38000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/04/02 03:30:05","2030/11/30 08:00:00"
FAA51C,DEGO-USDT,146097,DEGO,350FE2,USDT,SWAP,linear,1,50,1,1,0.0001,5,300000,30000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/12/13 05:30:00","2049/11/26 03:00:00"
B4C45D,DENT-USDT,4E964E,DENT,350FE2,USDT,SWAP,linear,10,50,1,1,1E-06,7,22451700,5000000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/10/18 01:30:00","2029/10/10 01:30:00"
F3FC0E,DEXE-USDT,C22301,DEXE,350FE2,USDT,SWAP,linear,1,50,0.1,0.1,0.001,4,800000,10000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/12/24 04:10:00","2048/12/31 08:00:00"
AC69F0,DF-USDT,F4C1D3,DF,350FE2,USDT,SWAP,linear,10,50,1,1,1E-05,6,500000,200000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/12/30 04:15:00","2049/11/26 03:00:00"
017C97,DIA-USDT,181B53,DIA,350FE2,USDT,SWAP,linear,10,50,1,1,0.0001,5,100000,20000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/10/09 02:00:00","2049/10/08 20:25:08"
F99A78,DMC-USDT,5144000000000,DMC,350FE2,USDT,SWAP,linear,100,50,1,1,1E-06,7,1800000,50000,0,cross,0,,,,,,,14E7C6,Suspended,1,"2025/06/24 06:15:00","2124/08/01 03:00:00"
D0148C,DODOX-USDT,DC1D24,DODOX,350FE2,USDT,SWAP,linear,1,50,1,1,1E-06,7,6026900,1000000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/10/18 01:30:00","2029/10/10 01:30:00"
C8F38F,DOG-USDT,F8B5D8,DOG,350FE2,USDT,SWAP,linear,1000,20,1,1,1E-06,7,5000000,20000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/06/06 01:30:05","2050/11/30 08:00:00"
600F76,DOGE-USD,49E20C,DOGE,2612A3,USD,SWAP,inverse,1,50,1,1,1E-05,6,20000000,300000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/06/27 03:00:00","2124/08/01 03:00:00"
3A21DD,DOGE-USDC,49E20C,DOGE,5B70F6,USDC,SWAP,linear,1,75,1,1,1E-05,6,50000000,400000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/08/18 02:00:00","2124/08/01 03:00:00"
6C04AB,DOGE-USDT,49E20C,DOGE,350FE2,USDT,SWAP,linear,1000,50,0.01,0.01,1E-05,6,49700,12000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/01/12 02:00:00","2125/06/30 19:56:13.174"
FC37BF,DOGS-USDT,8F4E53,DOGS,350FE2,USDT,SWAP,linear,1000,20,1,1,1E-07,8,67461000,50000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/08/26 06:00:00","2039/08/26 02:17:58"
E7DC04,DOLO-USDT,E13AEE,DOLO,350FE2,USDT,SWAP,linear,10,50,1,1,1E-06,7,2000000,50000,0,cross,0,,,,,,,14E7C6,Suspended,1,"2025/04/30 20:30:00","2124/08/01 03:00:00"
452B2F,DOOD-USDT,0D8AAF,DOOD,350FE2,USDT,SWAP,linear,100,50,1,1,1E-07,8,1000000,50000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/05/09 06:45:00","2124/08/01 03:00:00"
35E2F6,DOT-USDT,0F95D2,DOT,350FE2,USDT,SWAP,linear,1,50,0.1,0.1,0.001,4,2000000,30000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/01/12 02:00:00","2029/11/30 08:00:00"
6ED8DE,DRIFT-USDT,FCE0A9,DRIFT,350FE2,USDT,SWAP,linear,10,50,0.1,0.1,0.0001,5,100000,5000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/05/22 03:30:05","2050/11/30 08:00:00"
1F56C4,DUCK-USDT,168220,DUCK,350FE2,USDT,SWAP,linear,100,20,1,1,1E-06,7,33330000,30000,0,cross,0,,,,,,,14E7C6,Suspended,1,"2025/01/16 03:30:00","2049/01/15 22:24:29"
99F573,DUSK-USDT,33765D,DUSK,350FE2,USDT,SWAP,linear,1,50,1,1,1E-05,6,10000000,500000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/10/18 01:30:00","2029/10/10 01:30:00"
705A1C,DYDX-USDT,676FF3,DYDX,350FE2,USDT,SWAP,linear,1,50,1,1,0.0001,5,12410000,60000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/01/12 02:00:00","2029/11/30 08:00:00"
7BB338,DYM-USDT,1D8D0F,DYM,350FE2,USDT,SWAP,linear,1,50,1,1,0.0001,5,1000000,250000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/02/07 02:30:05","2030/01/31 08:00:00"
160447,EDU-USDT,88DDFA,EDU,350FE2,USDT,SWAP,linear,1,50,1,1,0.0001,5,10000000,200000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/06/12 01:30:05","2028/12/31 08:00:00"
7ED632,EGLD-USDT,7FABDC,EGLD,350FE2,USDT,SWAP,linear,0.1,20,1,1,0.01,3,6720000,12000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/01/12 02:00:00","2029/11/30 08:00:00"
36ED9F,EIGEN-USDT,AE7DCC,EIGEN,350FE2,USDT,SWAP,linear,1,20,1,1,0.0001,5,5000000,20000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/10/01 07:00:00","2049/10/01 04:14:58"
B5627E,ELX-USDT,84D2EA,ELX,350FE2,USDT,SWAP,linear,1,20,1,1,0.0001,5,195000,39000,0,cross,0,,,,,,,14E7C6,Suspended,1,"2025/03/12 03:30:00","2049/03/12 01:55:27"
BD80C9,ENA-USDC,87EE80,ENA,5B70F6,USDC,SWAP,linear,1,50,1,1,0.0001,5,1000000,200000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/08/18 02:00:00","2124/08/01 03:00:00"
448D12,ENA-USDT,87EE80,ENA,350FE2,USDT,SWAP,linear,10,75,0.1,0.1,0.0001,5,100000,30000,0,cross,0,1440,4,60,CA3449,15m,15,7C7AB8,Enabled,0,"2024/04/02 08:45:05","2030/11/30 08:00:00"
1.9E+234,ENJ-USDT,C86F2F,ENJ,350FE2,USDT,SWAP,linear,1,20,1,1,1E-05,6,78020000,100000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/01/12 02:00:00","2029/11/30 08:00:00"
5169AB,ENS-USDT,675906,ENS,350FE2,USDT,SWAP,linear,0.1,20,1,1,0.001,4,5000000,60000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/01/12 02:00:00","2029/11/30 08:00:00"
D973EE,EOS-USDT,30262C,EOS,350FE2,USDT,SWAP,linear,10,50,0.1,0.1,0.0001,5,2000000,15000,0,cross,0,,,,,,,14E7C6,Suspended,1,"2023/01/12 02:00:00","2049/11/30 08:00:00"
DE19E5,EPIC-USDT,7CA655,EPIC,350FE2,USDT,SWAP,linear,1,50,1,1,0.0001,5,500000,20000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/03/13 02:00:00","2049/03/13 00:17:49"
945004,EPT-USDT,2860CB,EPT,350FE2,USDT,SWAP,linear,100,50,1,1,1E-06,7,500000,90000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/04/21 06:15:00","2124/08/01 03:00:00"
5A3ADD,ERA-USDT,C1B1D6,ERA,350FE2,USDT,SWAP,linear,1,75,1,1,0.0001,5,1000000,100000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/07/17 08:45:00","2124/08/01 03:00:00"
6BAD03,ES-USDT,248545,ES,350FE2,USDT,SWAP,linear,10,20,1,1,0.0001,5,41665,8333,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/07/16 04:30:00","2124/08/01 03:00:00"
186FF1,ESPORTS-USDT,02C07D,ESPORTS,350FE2,USDT,SWAP,linear,10,50,1,1,1E-05,6,600000,50000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/07/29 03:15:00","2124/08/01 03:00:00"
3C00F5,ETC-USDT,FEFA64,ETC,350FE2,USDT,SWAP,linear,0.1,50,1,1,0.01,3,6303000,137300,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/01/12 02:00:00","2029/11/30 08:00:00"
5F3311,ETH-USD,032B56,ETH,2612A3,USD,SWAP,inverse,1,100,1,1,0.01,3,20000000,3000000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/06/20 23:00:00","2124/08/01 03:00:00"
63C1DC,ETH-USDC,032B56,ETH,5B70F6,USDC,SWAP,linear,0.001,125,1,1,0.01,3,8000000,400000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/08/18 02:00:00","2124/08/01 03:00:00"
3962F4,ETH-USDT,032B56,ETH,350FE2,USDT,SWAP,linear,0.01,150,0.1,0.1,0.01,3,555600,150000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/01/12 02:00:00","2049/11/30 08:00:00"
4C395A,ETHBTC-USDT,03D1E8,ETHBTC,350FE2,USDT,SWAP,linear,100,25,1,1,1E-06,7,20000,4000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/06/05 04:00:00","2124/08/01 03:00:00"
D2D735,ETHFI-USDT,A552D6,ETHFI,350FE2,USDT,SWAP,linear,1,20,1,1,0.0001,5,10000000,20000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/03/19 01:30:05","2030/11/30 08:00:00"
CE2819,ETHW-USDT,9118AF,ETHW,350FE2,USDT,SWAP,linear,0.1,20,1,1,0.001,4,70000000,150000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/11/23 00:30:05","2030/11/30 20:30:00"
10D2A7,F-USDT,6DB396,F,350FE2,USDT,SWAP,linear,100,50,1,1,1E-06,7,1000000,20000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/06/18 06:30:00","2124/08/01 03:00:00"
640409,FARTCOIN-USDT,2066AE,FARTCOIN,350FE2,USDT,SWAP,linear,1,20,1,1,0.0001,5,36000000,100000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/12/20 03:00:00","2049/12/20 01:47:50"
251F3C,FET-USDT,07EA08,FET,350FE2,USDT,SWAP,linear,1,75,1,1,0.0001,5,10000000,250000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/08/14 04:00:00","2050/11/30 08:00:00"
7858D3,FHE-USDT,9BE99B,FHE,350FE2,USDT,SWAP,linear,10,50,1,1,1E-05,6,1500000,40000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/04/12 08:50:00","2100/11/26 03:00:00"
988914,FIDA-USDT,F7F47D,FIDA,350FE2,USDT,SWAP,linear,10,75,1,1,1E-05,6,400000,40000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/09/19 06:00:00","2049/09/19 04:42:20"
27A832,FIL-USDT,D5970E,FIL,350FE2,USDT,SWAP,linear,0.1,50,1,1,0.001,4,39059000,200000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/01/12 02:00:00","2029/11/30 08:00:00"
3ADFC7,FIO-USDT,D2C545,FIO,350FE2,USDT,SWAP,linear,100,25,1,1,1E-05,6,200000,40000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/09/20 05:30:00","2049/09/20 02:56:18"
462A76,FIRE-USDT,EBC1CB,FIRE,350FE2,USDT,SWAP,linear,1,12,1,1,0.0001,5,50000,10000,0,cross,0,,,,,,,14E7C6,Suspended,1,"2024/05/10 03:30:05","2030/11/30 08:00:00"
65414E,FIS-USDT,74C67D,FIS,350FE2,USDT,SWAP,linear,1,25,1,1,1E-05,6,5000000,200000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/04/25 00:45:00","2124/08/01 03:00:00"
63E1C5,FLM-USDT,31B6BA,FLM,350FE2,USDT,SWAP,linear,1,20,1,1,1E-05,6,352110000,180000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/09/23 01:40:00","2029/11/30 08:00:00"
2B5471,FLOCK-USDT,AEC3EC,FLOCK,350FE2,USDT,SWAP,linear,10,25,1,1,1E-05,6,23500,4700,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/01/09 03:00:00","2049/01/09 02:06:26"
F26D9D,FLOW-USDT,7.6E+241,FLOW,350FE2,USDT,SWAP,linear,1,50,1,1,0.0001,5,20000000,150000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/08/04 03:30:05","2028/12/31 08:00:00"
274314,FLUX-USDT,349C69,FLUX,350FE2,USDT,SWAP,linear,10,50,1,1,0.0001,5,200000,10000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/09/03 00:30:00","2039/09/02 23:36:01"
F4B061,FORM-USDT,6B8FB4,FORM,350FE2,USDT,SWAP,linear,1,50,1,1,0.0001,5,600000,50000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/03/19 02:00:00","2049/03/19 00:52:23"
9E4DBF,FORTH-USDT,4AFB30,FORTH,350FE2,USDT,SWAP,linear,1,50,1,1,0.001,4,500000,20000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/04/08 01:45:00","2049/11/26 03:00:00"
E2308B,FOXY-USDT,12C2EC,FOXY,350FE2,USDT,SWAP,linear,100,20,1,1,1E-06,7,80000000,60000,0,cross,0,,,,,,,14E7C6,Suspended,1,"2024/04/12 06:30:05","2125/04/20 07:35:47"
6DAB2C,FUEL-USDT,940277,FUEL,350FE2,USDT,SWAP,linear,100,25,1,1,1E-05,6,14500,2900,0,cross,0,,,,,,,14E7C6,Suspended,1,"2025/01/06 04:10:00","2049/11/26 03:00:00"
5B78C5,FUN-USDT,9B1BC3,FUN,350FE2,USDT,SWAP,linear,1,50,1,1,1E-06,7,200000000,25000000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/03/31 02:40:00","2049/11/30 08:00:00"
B9255F,FWOG-USDT,195411,FWOG,350FE2,USDT,SWAP,linear,10,12,1,1,1E-05,6,25000,5000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/11/12 03:30:00","2049/11/12 02:11:00"
804BC0,FXS-USDT,6F61B7,FXS,350FE2,USDT,SWAP,linear,0.1,20,1,1,0.001,4,45000000,50000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/08/04 03:30:05","2028/12/31 08:00:00"
B1DE48,G-USDT,E2BA37,G,350FE2,USDT,SWAP,linear,100,50,1,1,1E-05,6,100000,30000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/07/26 04:00:00","2048/12/31 08:00:00"
