REQUEST,ORDERS,VW_ORDERS,VW_API_REQUESTS
245,295,245,245
REQUEST,,,,,,,,,,,,,,,
Request,"Order Id","Instrument
Position",Action,State,Price,Size,Leverage,"Request
Type","Margin
Mode","Reduce
Only",Memo,"Broker
ID","Create
Time","Expiry
Time","Update
Time"
00E8DB89B930,00E8DB89B930,EDDA999DFB4E,sell,E1CB25,2.5295,500,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/11/10 13:28:37.605","2025/11/10 21:28:37.605","2025/11/10 13:31:44.485"
00E8DB89B921,00E8DB89B921,EDDA999DFB4E,sell,E8FCF7,2.5295,5,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/11/10 13:27:59.441","2025/11/10 21:27:59.441","2025/11/10 13:28:18.149"
00E8DB89526E,00E8DB89526E,EDDA999DFB4E,buy,E8FCF7,2.2552,500,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/11/10 01:53:14.881","2025/11/10 09:53:14.881","2025/11/10 05:26:54.927"
E322F05B2C18,00E8DB88F47D,EDDA999DFB4E,sell,E1CB25,2.382,1000,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/11/09 15:48:25.360","2025/11/09 23:48:25.360","2025/11/09 16:20:17.406"
00E8DB88C000,00E8DB88C000,EDDA999DFB4E,buy,E1CB25,0,1000,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/11/09 10:04:42.797","2025/11/09 18:04:42.797","2025/11/09 10:04:42.836"
DEA6197EB860,00E8DB88AD50,EDDA999DFB4E,sell,E1CB25,2.322,1000,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/11/09 07:40:44.515","2025/11/09 15:40:44.515","2025/11/09 07:52:54.310"
00E8DB88A38B,00E8DB88A38B,4AD7305BF7D8,sell,E1CB25,0,1000,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/11/09 06:49:55.632","2025/11/09 14:49:55.632","2025/11/09 06:49:55.669"
A52293DEB5FF,00E8DB8813C2,4AD7305BF7D8,buy,E1CB25,2.262,1000,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/11/08 05:35:16.316","2025/11/08 13:35:16.316","2025/11/08 06:19:36.779"
E2D5C7EE48AE,00E8DB87CDBB,EDDA999DFB4E,sell,E8FCF7,2.95,100,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/11/07 19:41:26.245","2025/11/08 03:41:26.245","2025/11/07 19:46:44.763"
22261170B29B,00E8DB87B48A,EDDA999DFB4E,sell,E8FCF7,2.95,100,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/11/07 16:55:05.079","2025/11/08 00:55:05.079","2025/11/07 16:59:54.945"
70A6E8ECA21E,00E8DB86A4EE,EDDA999DFB4E,sell,E8FCF7,2.95,100,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/11/06 21:41:26.095","2025/11/07 05:41:26.095","2025/11/07 01:55:22.174"
24512DE2D3DE,00E8DB8607ED,EDDA999DFB4E,sell,E8FCF7,2.55,100,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/11/05 16:27:07.044","2025/11/06 00:27:07.044","2025/11/05 16:34:51.265"
B3CEC99E5D33,00E8DB85E2F1,EDDA999DFB4E,sell,E8FCF7,2.85,100,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/11/05 13:12:41.145","2025/11/05 21:12:41.145","2025/11/05 13:18:00.435"
EAC3B9F761CF,00E8DB856339,EDDA999DFB4E,sell,E8FCF7,2.95,100,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/11/04 22:09:26.788","2025/11/05 06:09:26.788","2025/11/04 22:30:08.017"
999CFAC8646F,00E8DB8212F7,EDDA999DFB4E,sell,E8FCF7,2.95,100,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/11/02 16:05:02.834","2025/11/03 00:05:02.834","2025/11/04 16:02:35.880"
00E8DB7E55E2,00E8DB7E55E2,EDDA999DFB4E,buy,E1CB25,0,1220,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/10/29 14:09:05.775","2025/10/29 22:09:05.775","2025/10/29 14:09:05.835"
00E8DB7DE75B,00E8DB7DE75B,EDDA999DFB4E,sell,E1CB25,0,320,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/10/29 11:39:30.718","2025/10/29 19:39:30.718","2025/10/29 11:39:30.999"
00E8DB7DD80F,00E8DB7DD80F,EDDA999DFB4E,sell,E1CB25,0,400,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/10/29 11:36:38.026","2025/10/29 19:36:38.026","2025/10/29 11:36:38.146"
00E8DB7DC8FC,00E8DB7DC8FC,EDDA999DFB4E,sell,E1CB25,0,500,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/10/29 11:23:52.201","2025/10/29 19:23:52.201","2025/10/29 11:23:52.306"
00E8DB7CB6E5,00E8DB7CB6E5,EDDA999DFB4E,buy,E1CB25,0,1250,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/10/28 13:19:26.730","2025/10/28 21:19:26.730","2025/10/28 13:19:26.977"
00E8DB7B5315,00E8DB7B5315,EDDA999DFB4E,sell,E1CB25,0,1250,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/10/27 09:51:46.202","2025/10/27 17:51:46.202","2025/10/27 09:51:46.247"
