REQUEST,ORDERS,VW_ORDERS,VW_API_REQUESTS
332,357,332,332
REQUEST,,,,,,,,,,,,,,,
Request,"Order Id","Instrument
Position",Action,State,Price,Size,Leverage,"Request
Type","Margin
Mode","Reduce
Only",Memo,"Broker
ID","Create
Time","Expiry
Time","Update
Time"
50085FCD1B3C,00E8DB72E825,119BB09507BD,sell,E8FCF7,2.85,1000,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/10/18 11:08:53.086","2025/10/18 19:08:53.086","2025/10/18 11:28:59.938"
87E5C5B08EB7,00E8DB72DD69,119BB09507BD,sell,E8FCF7,2.85,1000,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/10/18 09:19:12.219","2025/10/18 17:19:12.219","2025/10/18 11:06:18.829"
E140142BE6EC,00E8DB72CA8F,119BB09507BD,sell,E8FCF7,2.85,1000,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/10/18 07:17:07.712","2025/10/18 15:17:07.712","2025/10/18 07:28:55.088"
116E7C38EC68,00E8DB7272A4,119BB09507BD,sell,E8FCF7,2.85,1000,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/10/17 13:52:50.040","2025/10/17 21:52:50.040","2025/10/17 13:55:14.738"
E091B8C9981C,00E8DB7108C0,119BB09507BD,sell,E8FCF7,3.05,100,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/10/16 12:54:06.409","2025/10/16 20:54:06.409","2025/10/16 15:08:20.267"
5867F3601ACE,00E8DB71075B,119BB09507BD,sell,E8FCF7,2.85,1000,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/10/16 12:51:40.931","2025/10/16 20:51:40.931","2025/10/16 15:08:20.261"
A2CB347089EC,00E8DB703DBE,119BB09507BD,sell,E8FCF7,2.85,1000,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/10/16 05:29:12.701","2025/10/16 13:29:12.701","2025/10/16 05:38:12.780"
F57658762DF8,00E8DB6FABA4,119BB09507BD,sell,E8FCF7,2.85,1000,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/10/15 15:48:03.925","2025/10/15 23:48:03.925","2025/10/15 15:48:32.737"
CFB4EEF2E6D8,00E8DB6EA4D8,119BB09507BD,sell,E8FCF7,3.05,1000,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/10/14 22:37:04.282","2025/10/15 06:37:04.282","2025/10/15 10:24:13.733"
A58C003334DE,00E8DB6E8BDC,119BB09507BD,sell,E8FCF7,2.85,1000,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/10/14 19:59:58.703","2025/10/15 03:59:58.703","2025/10/14 22:37:03.919"
A71E321291A7,00E8DB6E1C8C,119BB09507BD,sell,E8FCF7,2.85,1000,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/10/14 11:03:09.645","2025/10/14 19:03:09.645","2025/10/14 17:17:01.155"
32A42B79AC32,00E8DB6CA49D,119BB09507BD,sell,E8FCF7,2.85,100,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/10/13 12:35:07.643","2025/10/13 20:35:07.643","2025/10/13 12:41:53.902"
